Mme/M,Députés,id,photo,Groupe,Ministre,Fonction,Partis,Précision,Téléphone / Portable,Mail,Départements,Circonscription,Tribune Le Monde signataires interdiction glyphosate,Co-signataires amendement Mathieu Oprhelin,1er scrutin Absent / Présent,Pour/Contre,2ème scrutin Absent / Présent,Pour/Contre,SCRUTIN ENVOYE SPECIAL
Mme,Sarah El Haïry,omc_pa720002,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720002.jpg,Mouvement Démocrate et apparentés,,,MODEM,,01 40 63 32 17,sarah.elhairy@assemblee-nationale.fr,Loire-Atlantique,5,,,Présent,Contre,,,CONTRE
Mme,Huguette Tiegna,omc_pa720014,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720014.jpg,La République en Marche,,,LREM,,01 40 63 75 65,huguette.tiegna@assemblee-nationale.fr,Lot,2,SIGNATAIRE,,,,,,
M.,Michel Lauzzana,omc_pa720022,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720022.jpg,La République en Marche,,,LREM,,01 40 63 32 05,michel.lauzzana@assemblee-nationale.fr,Lot-et-Garonne,1,,,,,,,
M.,Alexandre Freschi,omc_pa720030,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720030.jpg,La République en Marche,,,LREM,,01 40 63 32 06,a.freschi@outlook.fr  alexandre.freschi@assemblee-nationale.fr,Lot-et-Garonne,2,,,,,,,POUR
Mme,Sandrine Josso,omc_pa720038,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720038.jpg,La République en Marche,,,LREM,,01 40 63 03 03,sandrine.josso@assemblee-nationale.fr,Loire-Atlantique,7,SIGNATAIRE,SIGNATAIRE,,,,,
Mme,Audrey Dufeu Schubert,omc_pa720046,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720046.jpg,La République en Marche,,,LREM,,01 40 63 03 04,audrey.dufeuschubert@assemblee-nationale.fr,Loire-Atlantique,8,,,,,,,
M.,Yannick Haury,omc_pa720054,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720054.jpg,La République en Marche,,,LREM,,01 40 63 75 59,yannick.haury@assemblee-nationale.fr,Loire-Atlantique,9,,,,,,,
Mme,Stéphanie Rist,omc_pa720066,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720066.jpg,La République en Marche,,,LREM,,01 40 63 31 19,stephanie.rist@assemblee-nationale.fr,Loiret,1,,,,,,,
Mme,Caroline Janvier,omc_pa720074,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720074.jpg,La République en Marche,,,LREM,,01 40 63 04 11,caroline.janvier@assemblee-nationale.fr,Loiret,2,,,,,,,
M.,Richard Ramos,omc_pa720092,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720092.jpg,Mouvement Démocrate et apparentés,,,MODEM,,01 40 63 67 56,richard.ramos@assemblee-nationale.fr,Loiret,6,,,Présent,Pour,,,POUR
M.,Aurélien Pradié,omc_pa720100,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720100.jpg,Les Républicains,,,LR,,01 40 63 60 74,aurelien.pradie@assemblee-nationale.fr,Lot,1,,,,,,,
Mme,Valérie Oppelt,omc_pa720108,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720108.jpg,La République en Marche,,,LREM,,01 40 63 48 23,valerie.oppelt@assemblee-nationale.fr,Loire-Atlantique,2,,,,,,,
Mme,Anne-France Brunet,omc_pa720116,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720116.jpg,La République en Marche,,,LREM,,01 40 63 67 61,anne-france.brunet@assemblee-nationale.fr,Loire-Atlantique,3,,,,,,,
Mme,Aude Amadou,omc_pa720124,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720124.jpg,La République en Marche,,,LREM,,01.40.63.03.15,aude.amadou@assemblee-nationale.fr permanence@audeamadou.fr,Loire-Atlantique,4,,,,,,,
Mme,Laetitia Saint-Paul,omc_pa720138,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720138.jpg,La République en Marche,,,LREM,,01 40 63 48 16,laetitia.saint-paul@assemblee-nationale.fr  laetitiasaintpaul2017@gmail.com,Maine-et-Loire,4,,,,,,,
M.,Denis Masséglia,omc_pa720146,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720146.jpg,La République en Marche,,,LREM,,01 40 63 48 17,denis.masseglia@assemblee-nationale.fr,Maine-et-Loire,5,,,,,,,
Mme,Nicole Dubré-Chirat,omc_pa720154,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720154.jpg,La République en Marche,,,LREM,,01 40 63 60 34,nicole.dubre-chirat@assemblee-nationale.fr,Maine-et-Loire,6,SIGNATAIRE,,,,,,
M.,Philippe Bolo,omc_pa720162,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720162.jpg,Mouvement Démocrate et apparentés,,,MODEM,,01 40 63 92 08,philippe.bolo@assemblee-nationale.fr,Maine-et-Loire,7,,,,,,,
Mme,Carole Grandjean,omc_pa720170,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720170.jpg,La République en Marche,,,LREM,,03 83 34 38 51,carole.grandjean@assemblee-nationale.fr,Meurthe-et-Moselle,1,,,,,,,
M.,Laurent Garcia,omc_pa720178,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720178.jpg,Mouvement Démocrate et apparentés,,,MODEM,Apparenté au,01.40.63.06.05,laurent.garcia@assemblee-nationale.fr,Meurthe-et-Moselle,2,,,,,,,
M.,Bertrand Sorre,omc_pa720190,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720190.jpg,La République en Marche,,,LREM,,01 40 63 73 85,bertrand.sorre@assemblee-nationale.fr,Manche,2,,,,,,,
Mme,Sonia Krimi,omc_pa720202,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720202.jpg,La République en Marche,,,LREM,,01 40 63 73 29,sonia.krimi@assemblee-nationale.fr,Manche,4,,SIGNATAIRE,,,,,POUR
Mme,Valérie Beauvais,omc_pa720210,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720210.jpg,Les Républicains,,,LR,,01 40 63 33 06,valerie.beauvais@assemblee-nationale.fr,Marne,1,,,,,,,
Mme,Aina Kuric,omc_pa720214,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720214.jpg,La République en Marche,,,LREM,,01 40 63 67 60,aina.kuric@assemblee-nationale.fr,Marne,2,,,,,,,
M.,Éric Girardin,omc_pa720222,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720222.jpg,La République en Marche,,,LREM,,01 40 63 02 15,eric.girardin@assemblee-nationale.fr,Marne,3,,,Présent,Contre,,,CONTRE
Mme,Lise Magnier,omc_pa720230,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720230.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,01 40 63 33 13,lise.magnier@assemblee-nationale.fr,Marne,4,,,Présent,Contre,PRESENT,CONTRE,
Mme,Bérangère Abba,omc_pa720242,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720242.jpg,La République en Marche,,,LREM,,01.40.63.74.16,berangere.abba@assemblee-nationale.fr,Haute-Marne,1,SIGNATAIRE,SIGNATAIRE,,,PRESENT,CONTRE,
Mme,Géraldine Bannier,omc_pa720256,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720256.jpg,Mouvement Démocrate et apparentés,,,MODEM,,01 40 63 32 16,geraldine.bannier@assemblee-nationale.fr,Mayenne,2,,,Présent,Abstention,,,CONTRE
M.,Olivier Damaisin,omc_pa720268,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720268.jpg,La République en Marche,,,LREM,,01 40 63 32 07,olivier.damaisin@assemblee-nationale.fr,Lot-et-Garonne,3,,,Présent,Contre,,,CONTRE
M.,Matthieu Orphelin,omc_pa720278,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720278.jpg,La République en Marche,,,LREM,,01 40 63 48 04,matthieu.orphelin@assemblee-nationale.fr  bureau-m-orphelin@assemblee-nationale.fr,Maine-et-Loire,1,SIGNATAIRE,,Présent,Pour,,,
Mme,Caroline Fiat,omc_pa720286,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720286.jpg,La France insoumise,,,LFI,,01 40 63 71 03,aec.carolinefiat@gmail.com  caroline.fiat@assemblee-nationale.fr,Meurthe-et-Moselle,6,,,,,,,
Mme,Émilie Cariou,omc_pa720298,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720298.jpg,La République en Marche,,,LREM,,01 40 63 68 64,emilie.cariou@assemblee-nationale.fr,Meuse,2,,,,,,,
M.,Christophe Arend,omc_pa720310,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720310.jpg,La République en Marche,,,LREM,,01 40 63 32 10,christophe.arend@assemblee-nationale.fr   c.arend5706@gmail.com,Moselle,6,SIGNATAIRE,,Présent,Pour,,,
Mme,Hélène Zannier,omc_pa720318,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720318.jpg,La République en Marche,,,LREM,,01 40 63 04 08,helene.zannier@assemblee-nationale.fr,Moselle,7,,,,,,,
M.,Brahim Hammouche,omc_pa720326,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720326.jpg,Mouvement Démocrate et apparentés,,,MODEM,,01 40 63 75 82,brahim.hammouche@assemblee-nationale.fr,Moselle,8,,,,,,,POUR
M.,Jimmy Pahun,omc_pa720334,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720334.jpg,Mouvement Démocrate et apparentés,,,MODEM,Apparenté au,01 40 63 06 04,jimmy.pahun@orange.fr  jimmy.pahun@assemblee-nationale.fr,Morbihan,2,,,,,,,
Mme,Nicole Le Peih,omc_pa720342,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720342.jpg,La République en Marche,,,LREM,,01 40 63 75 75,le.peih.nicole@gmail.com  nicole.lepeih@assemblee-nationale.fr,Morbihan,3,,,Présent,Contre,PRESENT,CONTRE,
M.,Jean-Michel Jacques,omc_pa720354,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720354.jpg,La République en Marche,,,LREM,,01 40 63 76 06,jean-michel.jacques@assemblee-nationale.fr,Morbihan,6,,,Présent,Contre,,,
M.,Belkhir Belhaddad,omc_pa720362,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720362.jpg,La République en Marche,,,LREM,,01 40 63 02 09,belkhir.belhaddad@en-marche.fr  belkhir.belhaddad@assemblee-nationale.fr,Moselle,1,,,,,,,
M.,Ludovic Mendes,omc_pa720370,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720370.jpg,La République en Marche,,,LREM,,01 40 63 03 08,ludovic.mendes@assemblee-nationale.fr,Moselle,2,,,,,,,
M.,Richard Lioger,omc_pa720378,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720378.jpg,La République en Marche,,,LREM,,01 40 63 04 05,richard.lioger@assemblee-nationale.fr,Moselle,3,,,,,,,
M.,Fabien Di Filippo,omc_pa720386,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720386.jpg,Les Républicains,,,LR,,01 40 63 91 08,fabien.difilippo@assemblee-nationale.fr  fabiendifilippo@gmail.com,Moselle,4,,,,,,,
Mme,Nicole Trisse,omc_pa720394,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720394.jpg,La République en Marche,,,LREM,,03 87 28 10 84,nicole.gries-trisse@assemblee-nationale.fr,Moselle,5,SIGNATAIRE,,Présent,Pour,,,
M.,Xavier Paluszkiewicz,omc_pa720402,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720402.jpg,La République en Marche,,,LREM,,01 40 63 02 05,xavier.paluszkiewicz@assemblee-nationale.fr,Meurthe-et-Moselle,3,,,,,,,CONTRE
M.,Patrice Perrot,omc_pa720414,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720414.jpg,La République en Marche,,,LREM,,01 40 63 76 10,patrice.perrot@assemblee-nationale.fr,Nièvre,2,,SIGNATAIRE,,,PRESENT,CONTRE,
M.,Adrien Quatennens,omc_pa720422,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720422.jpg,La France insoumise,,,LFI,,01 40 63 61 07,adrien.quatennens@assemblee-nationale.fr,Nord,1,,,,,PRESENT,POUR,POUR
M.,Ugo Bernalicis,omc_pa720430,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720430.jpg,La France insoumise,,,LFI,,01 40 63 02 12,ugo.bernalicis@assemblee-nationale.fr,Nord,2,,,,,,,POUR
M.,Christophe Di Pompeo,omc_pa720438,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720438.jpg,La République en Marche,,,LREM,,01 40 63 03 09,christophe.dipompeo@assemblee-nationale.fr,Nord,3,,,,,,,
Mme,Brigitte Liso,omc_pa720446,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720446.jpg,La République en Marche,,,LREM,,01 40 63 63 16 OU 01 40 63 93 02,brigitte.liso@assemblee-nationale.fr,Nord,4,,,,,,,CONTRE
M.,Dimitri Houbron,omc_pa720454,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720454.jpg,La République en Marche,,,LREM,,01 40 63 04 02,dimitri.houbron@assemblee-nationale.fr,Nord,17,,,,,,,
M.,Sébastien Chenu,omc_pa720468,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720468.jpg,Non inscrit,,,NI,RN,01 40 63 01 03,sebastien.chenu@assemblee-nationale.fr,Nord,19,,,,,,,
Mme,Charlotte Lecocq,omc_pa720480,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720480.jpg,La République en Marche,,,LREM,,01 40 63 60 90,charlotte.lecocq@assemblee-nationale.fr,Nord,6,,,,,,,
Mme,Catherine Osson,omc_pa720492,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720492.jpg,La République en Marche,,,LREM,,01 40 63 74 29,catherine.osson@assemblee-nationale.fr,Nord,8,,,,,,,
Mme,Valérie Petit,omc_pa720500,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720500.jpg,La République en Marche,,,LREM,,01 40 63 04 10,valerie.petit@assemblee-nationale.fr,Nord,9,,,,,,,
M.,Laurent Pietraszewski,omc_pa720512,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720512.jpg,La République en Marche,,,LREM,,01 40 63 03 55,laurent.pietraszewski@assemblee-nationale.fr  circo5911@gmail.com,Nord,11,,,,,,,
Mme,Anne-Laure Cattelot,omc_pa720520,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720520.jpg,La République en Marche,,,LREM,,01 40 63 03 06,anne-laure.cattelot@assemblee-nationale.fr,Nord,12,,,,,,,
Mme,Jennifer De Temmerman,omc_pa720538,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720538.jpg,La République en Marche,,,LREM,,01 40 63 03 07,jennifer.detemmerman@assemblee-nationale.fr,Nord,15,,SIGNATAIRE,Présent,Pour,,,NE VEUT PAS REPONDRE
M.,Alain Bruneel,omc_pa720546,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720546.jpg,Gauche démocrate et républicaine,,,PCF,,01 40 63 71 81,alain.bruneel@assemblee-nationale.fr,Nord,16,,,,,,,POUR
Mme,Isabelle Rauch,omc_pa720552,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720552.jpg,La République en Marche,,,LREM,,01 40 63 04 09,isabelle.rauch@assemblee-nationale.fr,Moselle,9,,,,,,,CONTRE
Mme,Perrine Goulet,omc_pa720560,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720560.jpg,La République en Marche,,,LREM,,01 40 63 76 07,perrine.goulet@assemblee-nationale.fr,Nièvre,1,,,Présent,Contre,,,
Mme,Agnès Thill,omc_pa720568,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720568.jpg,La République en Marche,,,LREM,,01 40 63 75 50,agnes.thill@assemblee-nationale.fr,Oise,2,,SIGNATAIRE,,,,,
M.,Pascal Bois,omc_pa720576,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720576.jpg,La République en Marche,,,LREM,,01 40 63 68 06,pascal.bois@assemblee-nationale.fr,Oise,3,,,,,,,
M.,Pierre Vatin,omc_pa720586,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720586.jpg,Les Républicains,,,LR,,01 40 63 67 84,pierre.vatin@assemblee-nationale.fr,Oise,5,,,,,,,CONTRE
M.,Benoit Potterie,omc_pa720590,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720590.jpg,La République en Marche,,,LREM,,01 40 63 04 01,benoit.potterie@assemblee-nationale.fr,Pas-de-Calais,8,,,Présent,Contre,,,
Mme,Marguerite Deprez-Audebert,omc_pa720598,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720598.jpg,Mouvement Démocrate et apparentés,,,MODEM,,01 40 63 75 14,marguerite.deprez-audebert@assemblee-nationale.fr,Pas-de-Calais,9,,,,,,,CONTRE
M.,Ludovic Pajot,omc_pa720606,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720606.jpg,Non inscrit,,,NI,RN,01 40 63 01 13,ludovic.pajot@assemblee-nationale.fr,Pas-de-Calais,10,,,,,,,
Mme,Marine Le Pen,omc_pa720614,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720614.jpg,Non inscrit,,,NI,RN,01 40 63 01 07,marine.lepen@assemblee-nationale.fr,Pas-de-Calais,11,,,,,,,
Mme,Carole Bureau-Bonnard,omc_pa720622,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720622.jpg,La République en Marche,,,LREM,,01 40 63 51 84,carole.bureau-bonnard@assemblee-nationale.fr,Oise,6,,,,,,,
M.,Maxime Minot,omc_pa720630,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720630.jpg,Les Républicains,,,LR,,PAS DE TEL,maxime.minot@assemblee-nationale.fr,Oise,7,,,Présent,Contre,,,
M.,Jérôme Nury,omc_pa720644,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720644.jpg,Les Républicains,,,LR,,02 33 66 60 13 ( Tel en circ.),jerome.nury@assemblee-nationale.fr,Orne,3,,,Présent,Contre,PRESENT,CONTRE,
M.,Bruno Duvergé,omc_pa720652,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720652.jpg,Mouvement Démocrate et apparentés,,,MODEM,,01 40 63 75 46,bruno.duverge@assemblee-nationale.fr,Pas-de-Calais,1,,,,,,,
M.,José Evrard,omc_pa720664,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720664.jpg,Non inscrit,,,NI,Non déclaré,01 40 63 01 14,jose.evrard@assemblee-nationale.fr,Pas-de-Calais,3,,,,,,,
M.,Pierre-Henri Dumont,omc_pa720684,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720684.jpg,Les Républicains,,,LR,,01 40 63 60 76,pierre-henri.dumont@assemblee-nationale.fr,Pas-de-Calais,7,,,,,,,
M.,Fabien Roussel,omc_pa720692,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720692.jpg,Gauche démocrate et républicaine,,,PCF,,01 40 63 73 75,fabien.roussel@assemblee-nationale.fr,Nord,20,,,,,,,POUR
Mme,Béatrice Descamps,omc_pa720696,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720696.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,01 40 63 75 37,beatrice.descamps@assemblee-nationale.fr,Nord,21,,,,,,,CONTRE
Mme,Laurence Vichnievsky,omc_pa720704,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720704.jpg,Mouvement Démocrate et apparentés,,,MODEM,,01 40 63 67 57,laurence.vichnievsky@assemblee-nationale.fr,Puy-de-Dôme,3,,,,,,,POUR
Mme,Josy Poueyto,omc_pa720720,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720720.jpg,Mouvement Démocrate et apparentés,,,MODEM,,01 40 63 67 55,josy.poueyto@assemblee-nationale.fr,Pyrénées-Atlantiques,1,,,,,,,
M.,Jean-Paul Mattei,omc_pa720728,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720728.jpg,Mouvement Démocrate et apparentés,,,MODEM,,01 40 63 75 29,jean-paul.mattei@assemblee-nationale.fr  matteijeanpaul@icloud.com,Pyrénées-Atlantiques,2,,,,,,,
M.,Thierry Michels,omc_pa720738,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720738.jpg,La République en Marche,,,LREM,,01 40 63 93 05,thierry.michels@assemblee-nationale.fr,Bas-Rhin,1,,,,,,,CONTRE
M.,Sylvain Waserman,omc_pa720746,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720746.jpg,Mouvement Démocrate et apparentés,,,MODEM,,01 40 63 51 73,sylvain.waserman@assemblee-nationale.fr,Bas-Rhin,2,,,,,,,CONTRE
M.,Bruno Studer,omc_pa720754,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720754.jpg,La République en Marche,,,LREM,,01 40 63 65 92 OU 01 40 63 55 22,bruno.studer@assemblee-nationale.fr,Bas-Rhin,3,,,,,,,
Mme,Florence Lasserre-David,omc_pa720764,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720764.jpg,Mouvement Démocrate et apparentés,,,MODEM,,01 40 63 92 10,florence.lasserre-david@assemblee-nationale.fr,Pyrénées-Atlantiques,5,,,,,,,
M.,Vincent Bru,omc_pa720772,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720772.jpg,Mouvement Démocrate et apparentés,,,MODEM,Apparenté au,01 40 63 75 18,vincent.bru@assemblee-nationale.fr,Pyrénées-Atlantiques,6,,,,,,,
M.,Jean-Bernard Sempastous,omc_pa720780,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720780.jpg,La République en Marche,,,LREM,,01 40 63 74 69,jean-bernard.sempastous@assemblee-nationale.fr,Hautes-Pyrénées,1,,,,,,,
M.,Romain Grau,omc_pa720790,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720790.jpg,La République en Marche,,,LREM,,01 40 63 76 42,romain.grau@assemblee-nationale.fr,Pyrénées-Orientales,1,,,,,,,
M.,Louis Aliot,omc_pa720798,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720798.jpg,Non inscrit,,,NI,,01 40 63 01 08,louis.aliot@assemblee-nationale.fr,Pyrénées-Orientales,2,,,,,,,
Mme,Laurence Gayte,omc_pa720806,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720806.jpg,La République en Marche,,,LREM,,01 40 63 76 45,laurence.gayte@assemblee-nationale.fr,Pyrénées-Orientales,3,SIGNATAIRE,,,,,,
M.,Sébastien Cazenove,omc_pa720814,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720814.jpg,La République en Marche,,,LREM,,01 40 63 76 46,sebastien.cazenove@assemblee-nationale.fr,Pyrénées-Orientales,4,,,,,,,
M.,Bruno Bilde,omc_pa720822,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720822.jpg,Non inscrit,,,NI (RN),,01 40 63 01 04,bruno.bilde@assemblee-nationale.fr,Pas-de-Calais,12,,,,,,,
Mme,Valérie Thomas,omc_pa720830,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720830.jpg,La République en Marche,,,LREM,,01 40 63 31 12,valerie.thomas@assemblee-nationale.fr,Puy-de-Dôme,1,SIGNATAIRE,,Présent,Contre,,,CONTRE
M.,Bastien Lachaud,omc_pa720846,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720846.jpg,La France insoumise,,,LFI,,01 40 63 60 16,bastien.lachaud@assemblee-nationale.fr,Seine-Saint-Denis,6,,,,,PRESENT,POUR,POUR
M.,Stéphane Testé,omc_pa720854,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720854.jpg,La République en Marche,,,LREM,,01 40 63 48 02,stephane.teste@assemblee-nationale.fr,Seine-Saint-Denis,12,SIGNATAIRE,SIGNATAIRE,,,,,POUR
M.,Frédéric Descrozaille,omc_pa720862,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720862.jpg,La République en Marche,,,LREM,,01 40 63 95 01,frederic.descrozaille@assemblee-nationale.fr,Val-de-Marne,1,,,,,PRESENT,CONTRE,CONTRE
M.,Jean François Mbaye,omc_pa720870,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720870.jpg,La République en Marche,,,LREM,,01 40 63 95 04,jeanfrancois.mbaye@assemblee-nationale.fr,Val-de-Marne,2,,,Présent,Contre,PRESENT,POUR,POUR
M.,Laurent Saint-Martin,omc_pa720878,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720878.jpg,La République en Marche,,,LREM,,01 40 63 67 62,laurent.saint-martin@assemblee-nationale.fr,Val-de-Marne,3,,,,,,,CONTRE
Mme,Mathilde Panot,omc_pa720892,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720892.jpg,La France insoumise,,,LFI,,01 40 63 60 07,mathilde.panot@assemblee-nationale.fr,Val-de-Marne,10,,,,,PRESENT,POUR,POUR
Mme,Cécile Rilhac,omc_pa720900,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720900.jpg,La République en Marche,,,LREM,,01 40 63 95 10,cecile.rilhac@assemblee-nationale.fr,Val-d'Oise,3,SIGNATAIRE,,,,,,POUR
Mme,Naïma Moutchou,omc_pa720908,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720908.jpg,La République en Marche,,,LREM,,01 40 63 69 33,naima.moutchou@assemblee-nationale.fr,Val-d'Oise,4,,,,,,,
Mme,Fiona Lazaar,omc_pa720916,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720916.jpg,La République en Marche,,,LREM,,01 40 63 64 12,fiona.lazaar@assemblee-nationale.fr,Val-d'Oise,5,,,,,,,
Mme,Nathalie Elimas,omc_pa720924,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720924.jpg,Mouvement Démocrate et apparentés,,,MODEM,,01 40 63 92 12,nathalie.elimas@assemblee-nationale.fr,Val-d'Oise,6,,,,,,,CONTRE
M.,Dominique Da Silva,omc_pa720932,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720932.jpg,La République en Marche,,,LREM,,01 40 63 64 13 ,dominique.dasilva@assemblee-nationale.fr,Val-d'Oise,7,,,,,,,CONTRE
Mme,Zivka Park,omc_pa720944,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720944.jpg,La République en Marche,,,LREM,,01 40 63 67 69,zivka.park@assemblee-nationale.fr,Val-d'Oise,9,,,,,PRESENT,CONTRE,
M.,Aurélien Taché,omc_pa720952,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720952.jpg,La République en Marche,,,LREM,,01 40 63 67 33,aurelien.tache@assemblee-nationale.fr,Val-d'Oise,10,,,,,,,
M.,Olivier Serva,omc_pa720960,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720960.jpg,La République en Marche,,,LREM,,01 40 63 74 42,olivier.serva@assemblee-nationale.fr,Guadeloupe,1,,,,,,,
Mme,Justine Benin,omc_pa720968,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720968.jpg,Mouvement Démocrate et apparentés,,,MODEM,Apparentée au,01 40 63 75 07,justine.benin@assemblee-nationale.fr,Guadeloupe,2,,,,,,,
M.,Max Mathiasin,omc_pa720976,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720976.jpg,Mouvement Démocrate et apparentés,,,MODEM,Apparenté au,01 40 63 75 22,max.mathiasin@assemblee-nationale.fr,Guadeloupe,3,,,,,,,
Mme,Josette Manin,omc_pa720988,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720988.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,Apparentée au,01 40 63 92 06,josette.manin@assemblee-nationale.fr,Martinique,1,,,,,,,
M.,M'jid El Guerrab,omc_pa720996,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720996.jpg,Libertés et Territoires,,,NI,PRG,01 40 63 68 14,mjid.elguerrab@assemblee-nationale.fr,Français établis hors de France,9,,,,,PRESENT,POUR,
